# North right, East down for targets in East
Az, Alt
  4, 41
  6, 40
 12, 37
 15, 35
 20, 33
 21, 32
 23, 32
 24, 32
 25, 30
 26, 30
 27, 30
 30, 29
 31, 29
 32, 28
 34, 28
 35, 28
 36, 28
 37, 28
 38, 28
 39, 26
 48, 24
 64, 20
 80, 20
114, 20
124, 20
125, 28
128, 30
130, 31
135, 34
143, 39
149, 42
154, 44
169, 48
180, 49
191, 48
206, 44
211, 42
217, 39
225, 34
230, 31
232, 30
235, 28
236, 20
246, 20
280, 20
294, 20
312, 24
321, 28
328, 28
330, 29
333, 30
334, 30
335, 30
336, 32
338, 32
339, 32
340, 33
345, 35
348, 37
354, 40
356, 41

