name, ra, dec, nexp, exptime, filter, horizon, moond, moonw, priority, count, period, comment
V20_Berkeley59_NGC7822     ,   00:02:14   , +67:25:00, 3, 100, PSr, 30, 30, 6 , 3, 1,  4, VYSOS
V20_Stock18                ,   00:01:35   , +64:37:24, 3, 100, PSr, 30, 30, 6 , 9, 1,  4, VYSOS
V20_Blanco1                ,   00:03:20   , -30:08:00, 3, 100, PSr, 30, 30, 6 , 8, 1,  1, VYSOS
V20_L1273                  ,   00:03:59   , +68:34:41, 3, 100, PSr, 30, 30, 6 , 4, 1, 14, VYSOS
V20_V633Cas                ,   00:11:20   , +58:49:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  4, VYSOS
V20_RNO1BC                 ,   00:36:46   , +63:28:55, 3, 100, PSr, 30, 30, 6 , 1, 1, 14, VYSOS
V20_NGC281                 ,   00:52:50   , +56:35:00, 3, 100, PSr, 30, 30, 6 , 2, 1, 14, VYSOS
V20_NGC654                 ,   01:46:30   , +61:13:00, 3, 100, PSr, 30, 30, 6 , 9, 1,  1, VYSOS
V20_NGC869                 ,   02:18:58   , +57:07:18, 3, 100, PSr, 30, 30, 6 , 6, 1,  2, VYSOS
V20_NGC884                 ,   02:22:32   , +57:08:39, 3, 100, PSr, 30, 30, 6 , 7, 1,  2, VYSOS
V20_IC1795                 ,   02:26:38   , +62:07:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1805west             ,   02:28:50   , +61:26:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1340S                 ,   02:29:42   , +72:28:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  7, VYSOS
V20_L1340N                 ,   02:29:42   , +72:57:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  7, VYSOS
V20_IC1805center           ,   02:32:48   , +61:30:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_NGC957                 ,   02:33:21   , +57:33:36, 3, 100, PSr, 30, 30, 6 , 9, 1,  2, VYSOS
V20_IC1805north            ,   02:36:08   , +61:46:30, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1805east             ,   02:36:36   , +61:12:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_IC1848west             ,   02:49:24   , +60:21:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_IC1848south            ,   02:51:31   , +60:06:47, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_IC1848center           ,   02:53:24   , +60:21:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_IC1848east             ,   02:55:56   , +60:38:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_AFGL4029               ,   02:59:56   , +60:38:00, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_L1448                  ,   03:25:10   , +30:46:22, 3, 100, PSr, 30, 30, 6 , 7, 1,  7, VYSOS
V20_L1451-1455             ,   03:27:25   , +30:12:14, 3, 100, PSr, 30, 30, 6 , 5, 1,  7, VYSOS
V20_NGC1333                ,   03:29:02   , +31:20:54, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_LkHa326                ,   03:30:43   , +30:32:40, 3, 100, PSr, 30, 30, 6 , 3, 1, 14, VYSOS
V20_Barnard3               ,   03:40:30   , +31:57:00, 3, 100, PSr, 30, 30, 6 , 5, 1, 14, VYSOS
V20_IC348                  ,   03:44:34   , +32:09:48, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_CamOB3                 ,   03:59:19   , +57:11:53, 3, 100, PSr, 30, 30, 6 , 8, 1,  5, VYSOS
V20_NGC1502                ,   04:07:50   , +62:19:54, 3, 100, PSr, 30, 30, 6 , 5, 1,  1, VYSOS
V20_L1495                  ,   04:13:50   , +28:15:00, 3, 100, PSr, 30, 30, 6 , 6, 1,  7, VYSOS
V20_TTauri                 ,   04:21:59   , +19:32:06, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_FSTau                  ,   04:22:02   , +26:57:30, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
V20_DGTau                  ,   04:27:05   , +26:06:16, 3, 100, PSr, 30, 30, 6 , 3, 1,  1, VYSOS
V20_Haro6-10               ,   04:29:24   , +24:33:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  2, VYSOS
V20_L1551                  ,   04:31:39   , +18:13:58, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_L1642                  ,   04:34:50   , -14:13:00, 3, 100, PSr, 30, 30, 6 , 6, 1, 14, VYSOS
V20_HPTau                  ,   04:35:53   , +22:54:23, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_HVTau                  ,   04:38:35   , +26:10:39, 3, 100, PSr, 30, 30, 6 , 1, 1,  7, VYSOS
V20_VYTau                  ,   04:39:18   , +22:47:53, 3, 100, PSr, 30, 30, 6 , 4, 1,  1, VYSOS
V20_TMR1_IC2087            ,   04:39:36   , +25:49:00, 3, 100, PSr, 30, 30, 6 , 4, 1,  4, VYSOS
V20_NGC1624                ,   04:40:37   , +50:27:45, 3, 100, PSr, 30, 30, 6 , 8, 1,  7, VYSOS
V20_LkHa332                ,   04:42:08   , +25:23:12, 3, 100, PSr, 30, 30, 6 , 3, 1,  7, VYSOS
V20_DQTau                  ,   04:46:53   , +17:00:00, 3, 100, PSr, 30, 30, 6 , 1, 1,  1, VYSOS
V20_DRTau                  ,   04:47:06   , +16:58:43, 3, 100, PSr, 30, 30, 6 , 2, 1,  1, VYSOS
